Age,Sex,Job,Housing,Saving_accounts,Checking_account,Credit_amount,Duration,Purpose,Risk
43,female,3,rent,moderate,little,746,44,business,0
42,female,0,rent,little,little,31653,67,radio/TV,0
62,female,3,rent,little,rich,5712,29,car,1
58,male,0,own,little,moderate,3839,8,furniture,1
46,male,2,rent,moderate,rich,23642,55,car,0
32,female,1,rent,little,little,19894,34,education,0
62,male,3,free,moderate,little,12686,37,radio/TV,0
18,male,0,own,little,little,4895,44,radio/TV,0
42,female,1,own,little,rich,15790,14,business,0
24,male,0,own,little,little,22651,19,education,0
26,male,1,own,moderate,moderate,4191,69,furniture,0
41,female,1,rent,moderate,rich,7970,25,business,1
18,male,0,rent,little,rich,4341,33,education,0
61,male,3,free,rich,little,18276,19,business,1
25,female,3,free,moderate,little,6560,49,car,0
41,male,2,own,moderate,moderate,28084,44,education,0
28,male,1,free,little,rich,4800,33,furniture,1
68,female,2,free,rich,little,3838,69,furniture,1
34,female,2,own,little,moderate,5987,37,education,0
25,female,0,own,moderate,little,30029,14,business,0
52,male,0,free,moderate,rich,30762,33,radio/TV,0
52,female,0,rent,little,little,11780,22,education,1
50,male,1,free,little,rich,29304,60,furniture,0
22,female,0,free,rich,little,10415,15,car,1
59,male,0,rent,rich,rich,11658,11,furniture,1
56,female,1,rent,moderate,moderate,9121,53,radio/TV,0
58,female,1,own,rich,rich,11047,46,furniture,1
45,female,3,own,rich,moderate,23677,65,radio/TV,0
24,female,0,free,moderate,rich,2959,47,education,0
26,male,0,rent,moderate,moderate,29268,33,furniture,0
25,female,0,own,moderate,little,17934,18,business,0
29,female,3,free,moderate,rich,15919,20,business,0
51,male,0,rent,little,little,3421,41,furniture,0
50,female,3,free,moderate,moderate,5176,20,furniture,1
65,male,2,own,moderate,rich,20925,61,car,0
40,female,3,own,moderate,rich,13963,9,furniture,1
41,female,2,rent,rich,little,25974,57,car,0
54,female,0,free,moderate,rich,1969,15,car,1
52,male,2,rent,little,rich,7792,50,car,0
61,female,3,own,little,little,25909,34,car,0
57,female,1,own,moderate,rich,24026,58,education,0
39,female,2,free,little,little,23965,34,business,0
44,male,2,free,rich,little,31455,28,car,1
52,male,0,free,moderate,little,27285,62,business,0
18,female,3,rent,little,little,21533,55,car,0
52,male,2,free,little,little,7431,26,business,1
54,female,2,free,moderate,moderate,1591,48,furniture,0
64,female,2,own,little,moderate,26272,15,furniture,0
31,female,2,own,moderate,little,16863,35,business,0
20,female,1,free,little,moderate,28990,56,car,0
18,female,3,free,rich,moderate,760,38,education,0
22,female,0,own,little,rich,10956,23,business,0
43,female,0,free,little,little,22820,27,radio/TV,0
31,male,1,rent,moderate,moderate,13935,69,education,0
56,male,3,rent,little,rich,27525,26,radio/TV,0
44,male,2,rent,moderate,rich,28609,6,business,0
26,male,1,free,rich,little,21254,20,car,1
32,male,3,own,moderate,little,4801,41,radio/TV,0
32,male,2,free,moderate,rich,7707,52,business,0
43,male,1,free,little,little,28420,59,education,0
59,female,3,own,rich,little,22703,37,car,0
30,female,0,own,moderate,rich,22045,63,radio/TV,0
68,female,0,own,little,rich,24516,51,business,0
49,female,3,rent,little,little,31598,59,car,0
56,male,0,free,moderate,moderate,9056,38,car,0
66,male,3,own,little,little,20602,44,furniture,0
69,female,2,free,moderate,moderate,2424,28,car,1
49,female,3,rent,moderate,rich,19979,48,business,0
21,male,2,rent,moderate,moderate,19422,60,education,0
47,female,1,own,rich,rich,19160,7,furniture,1
54,female,3,own,moderate,little,10445,71,business,0
40,female,1,free,little,little,806,43,business,0
56,female,0,own,rich,rich,23459,34,business,1
62,male,2,free,little,rich,4731,41,radio/TV,0
32,female,3,own,rich,rich,12707,34,radio/TV,1
60,female,1,free,rich,little,6836,42,education,1
46,male,2,free,rich,little,10130,50,business,1
53,male,2,free,rich,moderate,17756,21,radio/TV,1
30,female,0,free,little,rich,34409,36,radio/TV,0
49,male,0,rent,moderate,moderate,34219,39,radio/TV,0
24,female,2,free,little,little,30513,55,education,0
68,female,2,own,moderate,moderate,14955,70,education,0
39,male,3,rent,little,moderate,5222,67,business,0
45,female,2,rent,rich,little,13312,48,furniture,1
19,female,3,free,rich,little,30776,61,business,0
59,female,2,rent,moderate,rich,10560,20,radio/TV,1
62,female,0,free,moderate,moderate,13556,53,radio/TV,0
23,male,3,own,little,little,7155,54,car,0
45,male,1,free,moderate,little,23074,49,business,0
45,female,0,rent,little,moderate,13527,15,radio/TV,1
61,male,3,own,moderate,little,4530,25,radio/TV,1
61,female,3,free,moderate,rich,24743,13,furniture,0
37,female,1,own,moderate,rich,33789,50,car,0
47,female,3,own,rich,moderate,20239,39,business,0
28,female,2,rent,rich,rich,34668,56,education,0
45,female,1,own,little,little,30513,9,business,0
42,male,0,rent,moderate,little,7079,44,business,0
56,female,0,own,little,little,18742,29,furniture,0
50,male,2,free,moderate,little,5281,60,business,0
18,male,0,own,rich,moderate,20948,31,furniture,0
44,female,3,free,rich,rich,21946,30,furniture,1
69,female,3,free,moderate,rich,11543,41,radio/TV,0
30,female,2,own,moderate,little,20353,63,education,0
58,female,0,free,rich,moderate,20579,17,furniture,1
20,female,0,own,rich,little,17601,6,car,0
56,male,2,own,little,little,1142,55,car,0
23,female,1,free,rich,moderate,28516,30,education,0
25,female,0,free,moderate,moderate,19432,10,furniture,0
44,male,1,rent,little,little,25445,11,education,0
26,male,0,free,moderate,rich,8049,31,radio/TV,1
54,female,0,rent,little,little,13897,60,car,0
50,male,0,free,moderate,rich,25862,44,business,0
68,female,0,own,rich,rich,34217,14,car,1
59,male,3,free,moderate,moderate,23516,50,furniture,0
61,male,1,own,little,moderate,15232,19,education,0
41,female,1,own,moderate,little,27411,60,car,0
32,male,0,own,little,rich,18366,14,business,0
49,male,0,rent,moderate,rich,28121,20,business,0
49,male,1,free,rich,little,13323,42,education,1
41,male,3,own,rich,little,30486,55,education,0
58,male,2,own,moderate,little,15190,26,car,0
69,male,2,rent,moderate,moderate,11456,62,furniture,0
66,female,1,free,moderate,little,21803,24,radio/TV,0
66,female,0,free,little,little,30174,63,business,0
69,male,0,rent,moderate,rich,2558,11,education,1
29,female,3,rent,moderate,little,12019,9,radio/TV,1
56,female,2,free,little,rich,31615,48,radio/TV,0
19,female,3,rent,rich,rich,1230,47,radio/TV,0
20,male,2,free,moderate,moderate,2332,8,furniture,0
66,female,1,free,moderate,little,23389,6,education,0
54,male,2,own,rich,little,4679,60,business,1
66,female,3,own,rich,rich,6799,20,education,1
34,male,3,free,little,moderate,8330,52,car,0
66,male,3,free,moderate,moderate,22941,51,business,0
19,female,1,free,moderate,little,7115,63,education,0
19,female,2,free,little,rich,7262,44,business,0
45,male,2,free,rich,little,25209,8,car,1
40,female,3,free,little,little,23934,35,business,0
54,female,2,rent,rich,little,21843,40,radio/TV,0
49,female,0,free,little,little,16239,62,furniture,0
50,male,0,rent,rich,rich,1166,34,car,1
18,male,0,rent,little,moderate,33544,55,business,0
36,female,2,free,rich,little,28383,67,car,0
19,female,1,free,rich,little,14563,57,radio/TV,0
61,female,1,rent,rich,little,34149,19,furniture,1
43,male,1,rent,rich,little,9929,40,car,1
49,male,1,free,rich,moderate,33426,33,radio/TV,1
23,female,0,free,moderate,moderate,32769,63,radio/TV,0
49,female,0,rent,rich,moderate,32204,35,radio/TV,1
21,female,3,rent,moderate,moderate,28891,12,business,0
28,female,2,rent,rich,little,24687,44,education,0
34,female,2,own,moderate,rich,3026,40,car,0
55,female,1,rent,moderate,moderate,25186,57,education,0
41,male,0,own,little,moderate,8303,19,radio/TV,1
22,female,1,free,rich,little,33168,68,education,0
69,male,3,free,little,little,7074,41,radio/TV,0
51,female,2,rent,little,little,9233,29,radio/TV,1
23,female,2,free,rich,little,7757,45,furniture,0
39,male,1,free,little,rich,16409,34,furniture,0
28,male,3,free,rich,rich,24646,58,education,0
65,male,2,free,little,moderate,12302,27,car,1
33,male,3,own,rich,rich,8396,20,education,1
50,female,3,own,rich,moderate,28633,69,car,0
26,male,1,rent,rich,moderate,14026,9,education,1
23,female,0,rent,moderate,rich,11778,23,business,0
33,male,1,rent,little,moderate,26051,47,business,0
46,female,0,free,moderate,little,25798,35,car,0
20,female,3,free,little,moderate,22691,20,furniture,0
37,female,0,own,little,little,33592,60,car,0
53,female,3,own,little,rich,24371,58,education,0
36,female,2,rent,moderate,rich,10221,21,radio/TV,1
43,female,2,own,little,moderate,30779,39,business,0
20,male,2,own,moderate,little,14904,32,radio/TV,0
36,female,1,own,rich,moderate,4986,18,business,1
37,male,1,own,little,rich,29187,32,education,0
49,male,3,own,little,moderate,13656,36,business,0
24,female,2,rent,rich,moderate,1067,8,car,1
69,male,1,rent,rich,little,2679,35,radio/TV,1
58,female,2,own,little,rich,2519,26,radio/TV,1
50,male,1,rent,rich,moderate,16419,11,education,1
57,female,0,free,moderate,little,20203,37,radio/TV,0
56,male,0,own,moderate,moderate,19204,47,education,0
35,female,2,free,little,little,18530,67,furniture,0
57,female,3,rent,moderate,little,4409,37,car,0
18,female,1,rent,moderate,moderate,8515,44,business,0
28,female,1,free,little,rich,3920,69,business,0
45,male,0,rent,rich,rich,17240,35,business,1
42,female,0,own,little,little,30828,68,furniture,0
67,male,3,free,moderate,rich,19965,36,car,0
40,male,3,own,little,little,4631,45,radio/TV,0
48,male,3,free,little,rich,11152,38,radio/TV,0
47,female,2,rent,moderate,moderate,22007,68,car,0
59,male,0,free,moderate,rich,24306,30,car,0
52,male,2,free,little,little,19671,41,business,0
24,male,0,own,moderate,little,21093,29,radio/TV,0
33,female,0,rent,moderate,rich,9970,63,car,0
43,female,1,own,moderate,moderate,21826,44,radio/TV,0
65,male,0,rent,moderate,little,5097,51,car,0
69,female,0,own,moderate,little,31288,15,education,0
66,female,2,free,moderate,little,33571,37,business,0
19,male,0,own,rich,little,5567,41,car,0
18,male,2,rent,little,little,5524,33,furniture,0
65,female,3,rent,moderate,moderate,8215,21,car,1
29,male,0,free,little,rich,32270,21,education,0
22,female,0,rent,rich,moderate,11726,23,furniture,1
54,female,2,own,moderate,moderate,13912,13,furniture,1
49,female,3,free,little,little,13069,6,car,1
26,female,1,rent,moderate,moderate,2869,67,education,0
58,female,3,rent,moderate,little,32521,43,furniture,0
52,female,2,own,moderate,moderate,1028,50,business,0
36,male,3,own,moderate,little,30814,63,business,0
65,male,2,free,moderate,little,18547,6,radio/TV,0
33,female,2,rent,moderate,moderate,20248,37,radio/TV,0
20,female,1,own,moderate,moderate,14419,13,education,0
37,female,0,free,rich,rich,15756,45,furniture,0
41,male,2,rent,rich,rich,5405,61,business,1
50,female,2,rent,moderate,rich,9384,68,business,0
41,male,1,free,moderate,moderate,29406,41,education,0
69,female,2,free,rich,moderate,6450,62,furniture,1
28,female,0,own,rich,little,1860,50,education,1
66,male,1,rent,rich,rich,22446,7,car,1
25,male,0,rent,moderate,little,9230,55,business,0
53,female,0,rent,little,little,22661,34,education,0
55,female,1,free,little,little,28238,15,education,0
57,female,2,own,little,little,4425,32,car,1
37,male,0,rent,little,rich,8963,20,radio/TV,1
52,male,0,free,moderate,little,17912,65,business,0
65,male,0,rent,little,moderate,22902,36,education,0
42,male,0,own,rich,moderate,34510,26,business,1
52,male,1,rent,rich,moderate,26217,65,radio/TV,0
42,male,1,own,little,rich,10297,63,education,0
46,female,3,own,rich,little,21094,46,car,0
35,female,3,rent,moderate,rich,6906,51,business,0
63,male,0,rent,little,little,14465,50,car,0
35,female,2,own,little,rich,14233,31,radio/TV,1
19,female,0,free,moderate,rich,27426,56,radio/TV,0
52,male,2,own,rich,little,29283,41,business,0
33,female,0,rent,moderate,rich,18324,57,radio/TV,0
58,male,3,rent,moderate,little,28787,56,furniture,0
53,male,3,free,rich,moderate,17068,8,business,1
50,female,2,own,moderate,moderate,30936,19,furniture,0
21,male,0,own,rich,moderate,21880,54,radio/TV,0
50,male,2,own,rich,rich,25296,6,business,1
31,male,3,rent,moderate,moderate,8531,62,furniture,0
38,male,0,own,rich,little,22447,22,radio/TV,1
65,male,0,free,moderate,moderate,3688,55,education,0
37,male,2,rent,rich,moderate,26169,19,education,1
25,male,1,rent,little,rich,32313,64,car,0
24,male,2,own,rich,little,7265,8,education,1
20,female,3,free,rich,rich,23671,45,furniture,0
34,female,3,rent,moderate,rich,11307,71,education,0
50,female,3,rent,rich,little,10704,39,business,1
65,male,3,own,little,rich,27566,14,business,0
29,male,3,own,little,little,23158,26,business,0
68,female,1,free,rich,moderate,14286,30,education,1
39,female,0,own,rich,little,29783,49,education,0
39,female,2,free,little,little,556,30,car,1
63,male,2,rent,moderate,little,33411,14,radio/TV,0
47,female,3,free,little,rich,9059,67,car,0
55,female,2,free,little,little,26558,31,furniture,0
55,male,3,free,rich,little,23245,62,business,0
62,female,1,rent,rich,little,1115,42,education,1
68,male,1,own,little,moderate,8562,21,radio/TV,1
25,male,0,rent,moderate,little,28714,42,radio/TV,0
44,male,1,own,little,rich,11181,29,education,1
44,female,1,free,little,little,7484,31,car,1
51,female,0,free,moderate,little,28079,25,radio/TV,0
38,male,2,free,little,moderate,25774,14,car,0
47,female,3,free,little,little,27899,34,education,0
50,female,3,free,rich,rich,31981,36,car,0
45,female,2,own,moderate,little,1444,24,business,1
64,female,0,own,rich,rich,28957,25,education,1
50,male,2,free,rich,moderate,9614,32,education,1
22,female,1,rent,moderate,little,18630,49,radio/TV,0
65,male,0,rent,moderate,moderate,12812,40,radio/TV,0
36,male,0,free,little,little,33096,27,radio/TV,0
21,female,0,own,rich,rich,10251,20,business,1
52,male,3,rent,moderate,moderate,7407,18,business,1
66,female,2,rent,rich,little,28614,9,furniture,1
34,female,0,rent,rich,rich,25509,61,education,0
61,male,0,free,moderate,moderate,19810,28,radio/TV,0
45,male,0,rent,little,little,19496,39,education,0
47,male,2,rent,rich,moderate,6547,22,car,1
46,male,3,rent,moderate,little,29267,33,business,0
63,female,1,rent,little,rich,16847,19,furniture,0
23,female,3,own,rich,rich,24602,39,car,0
52,female,0,free,moderate,moderate,4763,62,education,0
58,male,3,free,rich,moderate,2402,60,business,1
54,male,3,own,moderate,little,31323,71,radio/TV,0
41,male,1,own,moderate,rich,31040,42,car,0
46,female,2,free,rich,little,10690,31,business,1
66,male,2,rent,rich,rich,28190,66,education,0
63,female,3,rent,moderate,moderate,3494,57,education,0
48,male,3,free,little,little,2510,23,car,1
52,female,2,rent,rich,little,7877,58,car,1
50,female,2,own,moderate,rich,13536,68,car,0
69,male,1,rent,moderate,rich,26967,58,furniture,0
38,male,0,rent,little,rich,548,32,radio/TV,1
49,female,3,rent,little,moderate,16538,36,business,0
40,female,2,free,little,little,33076,6,education,0
50,male,3,own,rich,rich,8378,11,education,1
20,male,3,rent,moderate,moderate,28109,16,radio/TV,0
35,female,2,free,moderate,rich,24570,39,car,0
42,male,1,rent,moderate,little,22496,68,car,0
59,female,3,own,little,rich,18661,58,education,0
48,female,1,rent,moderate,little,2728,23,radio/TV,1
20,male,2,own,rich,moderate,26865,26,education,0
57,male,0,rent,little,moderate,25688,24,car,0
63,male,0,own,little,rich,9388,9,business,1
41,male,3,rent,little,little,23630,34,car,0
67,male,2,own,little,little,19290,30,business,0
49,female,1,rent,rich,little,25324,61,furniture,0
64,female,3,rent,moderate,rich,33905,68,radio/TV,0
39,male,2,free,rich,little,24974,32,furniture,1
40,male,2,free,moderate,little,17833,65,car,0
19,male,1,own,rich,little,34379,54,radio/TV,0
44,female,3,rent,little,little,8867,70,car,0
59,male,2,own,little,rich,1222,43,radio/TV,0
19,male,2,free,rich,rich,31645,57,radio/TV,0
43,female,2,own,rich,little,10639,6,car,1
34,female,1,own,moderate,little,2628,45,car,0
57,male,3,free,rich,moderate,21117,26,radio/TV,1
50,male,3,rent,rich,moderate,28580,20,radio/TV,1
26,male,3,own,moderate,little,18033,55,car,0
60,female,3,free,moderate,little,33124,53,car,0
65,male,0,rent,moderate,moderate,28456,37,education,0
56,male,0,free,rich,moderate,33577,54,education,0
46,male,3,own,moderate,little,4452,50,education,0
59,female,1,rent,little,rich,23296,37,furniture,0
43,female,0,rent,little,rich,32246,9,radio/TV,0
52,male,2,free,little,little,21749,70,business,0
67,male,0,free,rich,little,515,70,furniture,1
42,female,2,free,little,moderate,26457,23,radio/TV,0
41,female,3,rent,rich,moderate,16505,59,business,0
30,female,0,rent,rich,rich,21792,52,education,0
24,female,1,own,little,little,32376,11,business,0
53,female,0,rent,moderate,moderate,15317,71,car,0
62,female,0,own,rich,rich,25970,14,car,1
37,female,0,free,little,rich,10259,28,radio/TV,1
18,female,3,free,rich,rich,6912,48,furniture,0
25,female,1,rent,moderate,moderate,21004,56,education,0
63,male,0,free,moderate,moderate,9007,30,radio/TV,1
33,male,1,free,little,little,21550,40,education,0
31,male,3,rent,rich,little,5320,22,car,1
29,female,2,own,rich,rich,8335,23,furniture,1
68,male,0,rent,rich,rich,28131,32,furniture,1
40,female,1,own,rich,moderate,14087,20,car,1
32,female,1,rent,little,moderate,7340,20,business,1
45,male,3,rent,moderate,little,31940,47,furniture,0
51,female,0,free,little,little,31136,39,business,0
19,male,2,rent,rich,little,2889,53,education,0
49,male,1,rent,rich,moderate,1263,13,furniture,1
40,male,0,own,moderate,rich,24425,15,car,0
39,female,2,free,rich,little,27049,10,business,1
68,male,1,own,little,little,23957,53,education,0
42,female,1,own,little,moderate,21923,31,education,0
39,male,2,free,moderate,little,11018,28,furniture,1
39,male,2,free,little,rich,32860,67,furniture,0
66,male,3,free,little,moderate,28673,18,radio/TV,0
69,female,0,rent,little,little,9895,14,radio/TV,1
59,female,0,free,little,little,19707,25,furniture,0
23,female,3,free,rich,moderate,27139,62,radio/TV,0
32,male,1,free,little,moderate,29424,29,car,0
60,male,2,own,moderate,little,7933,38,car,0
54,female,2,own,moderate,rich,30604,25,radio/TV,0
50,female,2,rent,little,moderate,4164,65,furniture,0
25,female,1,own,moderate,rich,11028,53,car,0
61,female,2,rent,little,little,28690,69,education,0
61,female,2,own,moderate,rich,997,35,furniture,1
22,female,3,free,moderate,little,8141,22,business,0
56,male,1,own,little,little,5143,19,business,1
21,female,0,rent,little,little,5556,24,furniture,0
23,male,3,own,rich,little,33399,64,radio/TV,0
62,male,3,free,little,rich,5943,49,car,0
49,female,0,rent,little,little,17741,37,car,0
69,female,3,free,rich,little,9212,16,furniture,1
47,male,1,free,little,rich,8721,7,education,1
64,female,2,rent,little,moderate,31846,22,radio/TV,0
52,female,1,free,rich,rich,16160,45,education,0
57,male,0,free,little,rich,12088,51,furniture,0
69,male,0,own,little,rich,18442,9,furniture,0
33,male,3,free,rich,little,2107,43,education,1
30,female,1,free,rich,little,2516,68,business,1
67,male,1,free,moderate,little,4074,34,furniture,1
59,female,0,free,little,moderate,7774,24,radio/TV,1
47,male,1,rent,moderate,little,16248,34,education,0
36,male,0,own,moderate,moderate,20675,40,business,0
34,male,1,free,rich,little,12326,28,education,1
36,female,1,free,little,rich,17972,51,business,0
45,female,1,rent,little,little,34629,49,business,0
43,male,0,free,rich,moderate,4973,53,radio/TV,1
54,male,3,rent,moderate,moderate,23990,57,furniture,0
43,male,1,own,rich,little,9981,13,business,1
40,female,0,own,little,rich,9020,60,furniture,0
26,male,0,free,rich,little,26915,71,radio/TV,0
29,female,1,free,little,little,18070,45,furniture,0
18,male,1,free,moderate,little,20298,36,car,0
18,male,3,rent,little,rich,4036,53,business,0
64,male,0,free,moderate,moderate,2273,66,radio/TV,0
51,male,0,free,moderate,rich,30394,57,education,0
49,male,2,own,little,moderate,5579,43,radio/TV,0
65,male,0,free,little,moderate,26338,41,business,0
42,female,3,own,moderate,moderate,22304,60,radio/TV,0
57,male,2,free,rich,rich,20175,18,education,1
62,female,2,own,little,little,26094,42,car,0
18,male,2,free,moderate,little,9498,52,business,0
33,male,1,own,moderate,little,14197,27,business,1
56,female,1,rent,rich,little,13929,44,radio/TV,1
22,male,0,own,little,little,7640,63,furniture,0
39,female,2,own,moderate,rich,15401,35,furniture,0
46,female,3,own,rich,rich,23779,23,education,1
20,male,1,free,moderate,rich,29025,23,car,0
29,female,3,free,little,rich,20991,44,car,0
43,female,3,free,rich,rich,3780,31,radio/TV,1
33,male,1,rent,moderate,rich,30489,12,radio/TV,0
68,female,1,rent,rich,rich,8578,70,furniture,1
54,male,1,own,little,little,26618,51,car,0
39,male,1,rent,rich,moderate,24485,23,car,1
46,male,2,own,little,rich,17497,18,car,0
31,male,2,own,moderate,moderate,14774,30,education,1
45,female,2,own,little,rich,1368,13,education,1
22,male,2,rent,moderate,rich,26898,37,radio/TV,0
64,male,0,free,moderate,little,16542,22,furniture,0
66,female,2,rent,little,moderate,32320,53,business,0
47,male,1,own,moderate,little,21746,68,furniture,0
63,male,3,own,rich,little,21061,45,education,0
69,female,2,rent,moderate,moderate,16754,20,education,0
22,female,0,own,little,little,24496,11,radio/TV,0
29,female,1,own,rich,rich,29118,68,business,0
33,female,3,rent,rich,rich,12359,13,car,1
43,female,3,rent,moderate,rich,24080,37,business,0
43,female,2,rent,moderate,rich,5923,50,business,0
65,female,3,own,little,rich,7108,57,business,0
38,male,2,own,rich,little,5376,18,radio/TV,1
56,female,2,free,little,little,21538,29,education,0
53,female,1,free,moderate,rich,28506,45,car,0
50,female,1,rent,rich,rich,31310,19,business,1
47,male,0,free,little,little,14825,67,car,0
54,male,1,own,little,moderate,2253,66,business,0
40,female,1,free,little,little,30031,6,education,0
27,female,2,own,little,little,18496,71,car,0
22,female,1,rent,little,little,3775,37,furniture,0
53,male,2,rent,rich,little,9247,18,education,1
51,male,2,own,little,little,1324,38,car,0
69,female,1,free,rich,moderate,14380,37,business,1
48,male,0,rent,little,rich,1581,61,business,0
27,female,0,rent,moderate,rich,12017,29,education,1
36,male,3,free,moderate,moderate,22183,9,education,0
49,male,3,free,little,rich,17376,28,business,0
18,female,1,own,moderate,rich,8766,34,car,0
22,female,0,free,rich,rich,11683,26,furniture,1
62,female,2,free,little,moderate,21566,35,radio/TV,0
21,female,3,free,rich,moderate,13377,25,education,1
33,male,2,own,little,rich,10482,21,business,1
41,male,3,own,moderate,rich,9468,54,car,0
33,male,1,rent,rich,rich,27098,63,education,0
19,female,0,own,moderate,little,15139,49,car,0
66,male,3,rent,moderate,little,5174,30,education,1
45,female,0,free,little,little,4816,28,business,1
49,male,2,rent,rich,moderate,10195,64,car,1
44,female,1,rent,moderate,rich,31594,6,business,0
37,female,0,free,little,moderate,22687,20,car,0
41,male,1,rent,little,moderate,1714,57,education,0
29,female,0,own,little,moderate,24440,63,radio/TV,0
67,female,2,own,moderate,rich,26185,46,radio/TV,0
52,male,2,own,little,little,16477,49,furniture,0
50,female,1,own,rich,rich,26038,9,furniture,1
50,female,2,rent,rich,rich,8465,12,business,1
68,female,3,rent,moderate,moderate,10097,51,car,0
60,male,0,free,rich,moderate,28240,14,furniture,1
54,male,2,rent,little,moderate,7069,38,education,0
29,female,3,rent,moderate,little,12381,38,radio/TV,0
20,male,1,rent,little,little,32677,9,car,0
18,female,3,free,moderate,little,1090,70,radio/TV,0
50,female,1,own,moderate,rich,26619,39,car,0
57,female,1,rent,little,moderate,28415,69,furniture,0
27,female,0,free,rich,rich,3208,30,furniture,1
